City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
603,Grand Gaube,MU,81.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
604,Buenos Aires,AR,76.96,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
605,Muli,MV,81.63,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
609,Puerto Leguizamo,CO,77.16,moderate rain,-0.1934,-74.7819,la casona de juancho
615,Meulaboh,ID,76.32,overcast clouds,4.1363,96.1285,Kost Pria
621,San Francisco,US,81.25,clear sky,37.7749,-122.4194,The Clift Royal Sonesta Hotel
625,Jizan,SA,77.94,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
629,Madimba,TZ,77.32,light rain,-10.4,40.3333,
631,Daru,PG,84.16,scattered clouds,-9.0763,143.2092,Daru Lodge
632,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
635,Puerto Rondon,CO,83.46,broken clouds,6.2805,-71.1,Urbanización Santa Clara
636,Palauig,PH,81.19,broken clouds,15.435,119.9045,Alperi Botique Resort
647,Isangel,VU,85.08,overcast clouds,-19.55,169.2667,Tanna Lodge
650,Nisia Floresta,BR,83.21,clear sky,-6.0911,-35.2086,Rancho Crepusculo
651,Mbini,GQ,78.64,overcast clouds,1.574,9.6134,
657,Amahai,ID,78.87,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
659,Vanimo,PG,80.74,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
669,Champerico,GT,89.94,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
692,Jardim,BR,86.43,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
698,Wamba,NG,75.85,scattered clouds,8.9333,8.6,Roma Zee Guest House Annex
699,Caucaia,BR,83.03,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
701,Dingle,PH,78.51,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
702,Tamale,GH,84.33,scattered clouds,9.4008,-0.8393,Tap Hotel
705,Coronado,US,89.82,clear sky,32.6859,-117.1831,El Cordova Hotel
707,Ilhabela,BR,75.13,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
709,Sahuaripa,MX,80.64,few clouds,29.05,-109.2333,Estatua de Sahuaripa
711,Bac Lieu,VN,79.66,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
714,Pangai,TO,86.11,few clouds,-19.8,-174.35,Ha'apai Beach Resort
