Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
657,Amahai,ID,-3.3333,128.9167,78.87,83,100,2.17,overcast clouds
658,Iquique,CL,-20.2208,-70.1431,69.84,77,58,5.01,broken clouds
659,Vanimo,PG,-2.6741,141.3028,80.74,84,100,2.44,overcast clouds
660,Yantal,RU,56.8471,105.2542,-30.01,100,57,3.29,broken clouds
661,Eyl,SO,7.9803,49.8164,72.68,69,70,13.96,broken clouds
662,Kousseri,CM,12.0769,15.0306,73.09,33,60,8.61,broken clouds
663,Matamoros,MX,25.5333,-103.25,62.71,23,75,4.61,broken clouds
664,Dunedin,NZ,-45.8742,170.5036,61.21,63,4,6.11,clear sky
665,Kazanskaya,RU,45.4106,40.4361,31.86,71,0,10.04,clear sky
666,Nakambala,ZM,-15.8324,27.7799,63.54,94,91,2.21,overcast clouds
667,Port Hawkesbury,CA,45.6169,-61.3485,24.87,85,100,5.75,light snow
668,Sangar,RU,63.9242,127.4739,-37.37,100,49,2.04,scattered clouds
669,Champerico,GT,14.3,-91.9167,89.94,65,1,6.71,clear sky
670,Batagay,RU,67.6333,134.6333,-24.25,92,96,3.06,overcast clouds
671,Marsh Harbour,BS,26.5412,-77.0636,73.71,83,100,12.66,overcast clouds
672,Darhan,MN,49.4867,105.9228,-11.92,99,100,2.68,overcast clouds
673,Westport,US,41.1415,-73.3579,30.33,69,100,1.99,snow
674,Baruun-Urt,MN,46.6806,113.2792,-18.49,99,66,1.3,broken clouds
675,Lander,US,42.833,-108.7307,56.21,18,0,5.75,clear sky
676,Pau Brasil,BR,-15.4642,-39.6511,70.95,99,94,1.41,overcast clouds
677,Thanh Hoa,VN,19.8,105.7667,58.26,80,100,4.47,overcast clouds
678,Misratah,LY,32.3754,15.0925,56.97,65,56,7.4,broken clouds
679,Dunda,TZ,-8.1167,34.25,62.92,92,97,2.24,overcast clouds
680,Adrar,MR,20.5022,-10.0711,61.81,22,81,11.52,broken clouds
681,Paita,PE,-5.0892,-81.1144,74.12,79,18,11.65,few clouds
682,Yerbogachen,RU,61.2767,108.0108,-31.25,100,87,3.4,overcast clouds
683,Preobrazheniye,RU,42.9019,133.9064,19.15,43,87,3.85,overcast clouds
684,Farmington,US,36.7281,-108.2187,57.2,15,0,14.97,clear sky
685,Toora-Khem,RU,52.4675,96.11,-31.85,100,74,0.76,broken clouds
686,Lodja,CD,-3.4833,23.4333,68.85,93,98,2.3,overcast clouds
687,Sawtell,AU,-30.3833,153.1,72.19,90,100,11.5,overcast clouds
688,Palmer,US,42.1584,-72.3287,28.92,56,75,10.36,broken clouds
689,Ayan,RU,56.45,138.1667,-6.36,82,6,5.3,clear sky
690,Roblin,CA,51.23,-101.3565,5.72,90,98,8.21,overcast clouds
691,Guangyuan,CN,32.442,105.823,42.89,80,100,2.51,overcast clouds
692,Jardim,BR,-21.4803,-56.1381,86.43,36,77,4.56,broken clouds
693,Walvis Bay,NA,-22.9575,14.5053,72.55,83,4,3.44,light rain
694,Dubbo,AU,-32.25,148.6167,73.53,53,100,10.36,overcast clouds
695,Beloha,MG,-25.1667,45.05,74.07,89,11,8.77,few clouds
696,Roebourne,AU,-20.7833,117.1333,90.27,49,69,8.59,broken clouds
697,Ikom,NG,5.9667,8.7063,72.52,68,89,1.19,overcast clouds
698,Wamba,NG,8.9333,8.6,75.85,15,35,4.94,scattered clouds
699,Caucaia,BR,-3.7361,-38.6531,83.03,73,20,10.36,few clouds
700,Gaoual,GN,11.75,-13.2,74.61,19,4,1.77,clear sky
701,Dingle,PH,10.9995,122.6711,78.51,83,97,8.25,overcast clouds
702,Tamale,GH,9.4008,-0.8393,84.33,33,38,2.68,scattered clouds
703,Labytnangi,RU,66.6572,66.4183,-14.87,100,100,2.04,overcast clouds
704,Beckley,US,37.7782,-81.1882,28.71,66,75,9.22,broken clouds
705,Coronado,US,32.6859,-117.1831,89.82,15,0,12.66,clear sky
706,Kutum,SD,14.2,24.6667,59.49,18,3,8.88,clear sky
707,Ilhabela,BR,-23.7781,-45.3581,75.13,89,50,9.22,scattered clouds
708,Bandar-E Lengeh,IR,26.5579,54.8807,64.42,54,27,9.13,scattered clouds
709,Sahuaripa,MX,29.05,-109.2333,80.64,13,19,5.99,few clouds
710,Mandalgovi,MN,45.7625,106.2708,-7.96,89,54,7.23,broken clouds
711,Bac Lieu,VN,9.285,105.7244,79.66,79,28,15.43,scattered clouds
712,Helong,CN,42.5397,128.9972,12.85,85,100,3.36,light snow
713,Chemax,MX,20.65,-87.9333,70.27,76,68,8.12,broken clouds
714,Pangai,TO,-19.8,-174.35,86.11,70,20,13.8,few clouds
